Day,Hour,PCB
27/08/2021,22,"193,74"
27/08/2021,23,"190,27"
28/08/2021,00,"161,88"
28/08/2021,01,"160,63"
28/08/2021,02,"157,87"
28/08/2021,03,"157,15"
28/08/2021,04,"152,25"
28/08/2021,05,"150,74"
28/08/2021,06,"153,11"
28/08/2021,07,"154,25"
28/08/2021,08,"153,57"
28/08/2021,09,"152,34"
28/08/2021,10,"137,79"
28/08/2021,11,"121,78"
28/08/2021,12,"120,14"
28/08/2021,13,"123,79"
28/08/2021,14,"121,22"
28/08/2021,15,"118,31"
28/08/2021,16,"115,80"
28/08/2021,17,"114,81"
28/08/2021,18,"124,87"
28/08/2021,19,"127,21"
28/08/2021,20,"153,97"
28/08/2021,21,"161,92"
28/08/2021,22,"160,41"
28/08/2021,23,"154,55"
29/08/2021,00,"137,64"
29/08/2021,01,"127,28"
29/08/2021,02,"127,06"
29/08/2021,03,"128,47"
29/08/2021,04,"128,81"
29/08/2021,05,"128,14"
29/08/2021,06,"137,71"
29/08/2021,07,"138,10"
29/08/2021,08,"136,20"
29/08/2021,09,"137,31"
29/08/2021,10,"122,16"
29/08/2021,11,"121,90"
29/08/2021,12,"122,02"
29/08/2021,13,"126,07"
29/08/2021,14,"128,83"
29/08/2021,15,"122,03"
29/08/2021,16,"122,01"
29/08/2021,17,"123,23"
29/08/2021,18,"124,28"
29/08/2021,19,"144,65"
29/08/2021,20,"161,38"
29/08/2021,21,"163,92"
29/08/2021,22,"162,19"
29/08/2021,23,"161,23"
30/08/2021,00,"157,85"
30/08/2021,01,"152,65"
30/08/2021,02,"147,29"
30/08/2021,03,"146,87"
30/08/2021,04,"151,52"
30/08/2021,05,"156,53"
30/08/2021,06,"159,14"
30/08/2021,07,"161,05"
30/08/2021,08,"198,66"
30/08/2021,09,"198,55"
30/08/2021,10,"286,52"
30/08/2021,11,"283,25"
30/08/2021,12,"282,37"
30/08/2021,13,"282,06"
30/08/2021,14,"188,83"
30/08/2021,15,"186,69"
30/08/2021,16,"185,54"
30/08/2021,17,"187,25"
30/08/2021,18,"280,97"
30/08/2021,19,"288,84"
30/08/2021,20,"291,14"
30/08/2021,21,"295,66"
30/08/2021,22,"198,33"
30/08/2021,23,"195,84"
31/08/2021,00,"166,26"
31/08/2021,01,"164,82"
31/08/2021,02,"163,78"
31/08/2021,03,"159,90"
31/08/2021,04,"160,61"
31/08/2021,05,"162,26"
31/08/2021,06,"166,37"
31/08/2021,07,"166,32"
31/08/2021,08,"204,91"
31/08/2021,09,"202,07"
31/08/2021,10,"290,29"
31/08/2021,11,"287,02"
31/08/2021,12,"286,86"
31/08/2021,13,"287,41"
31/08/2021,14,"194,23"
31/08/2021,15,"188,41"
31/08/2021,16,"188,02"
31/08/2021,17,"193,71"
31/08/2021,18,"289,76"
31/08/2021,19,"295,54"
31/08/2021,20,"298,09"
31/08/2021,21,"301,19"
31/08/2021,22,"204,14"
31/08/2021,23,"202,51"
01/09/2021,00,"163,80"
01/09/2021,01,"158,44"
01/09/2021,02,"151,73"
01/09/2021,03,"147,12"
01/09/2021,04,"147,22"
01/09/2021,05,"154,86"
01/09/2021,06,"165,29"
01/09/2021,07,"169,36"
01/09/2021,08,"205,62"
01/09/2021,09,"203,20"
01/09/2021,10,"294,30"
01/09/2021,11,"293,39"
01/09/2021,12,"293,24"
01/09/2021,13,"293,02"
01/09/2021,14,"199,90"
01/09/2021,15,"199,59"
01/09/2021,16,"200,34"
01/09/2021,17,"200,57"
01/09/2021,18,"296,22"
01/09/2021,19,"300,68"
01/09/2021,20,"302,77"
01/09/2021,21,"303,46"
01/09/2021,22,"209,61"
01/09/2021,23,"209,58"
02/09/2021,00,"174,78"
02/09/2021,01,"174,78"
02/09/2021,02,"173,83"
02/09/2021,03,"173,22"
02/09/2021,04,"173,09"
02/09/2021,05,"172,96"
02/09/2021,06,"174,36"
02/09/2021,07,"173,94"
02/09/2021,08,"209,86"
02/09/2021,09,"207,25"
02/09/2021,10,"299,28"
02/09/2021,11,"297,87"
02/09/2021,12,"298,34"
02/09/2021,13,"298,75"
02/09/2021,14,"205,19"
02/09/2021,15,"204,53"
02/09/2021,16,"203,59"
02/09/2021,17,"204,42"
02/09/2021,18,"300,04"
02/09/2021,19,"306,57"
02/09/2021,20,"308,05"
02/09/2021,21,"312,29"
02/09/2021,22,"216,61"
02/09/2021,23,"214,19"
03/09/2021,00,"178,86"
03/09/2021,01,"176,45"
03/09/2021,02,"175,48"
03/09/2021,03,"175,46"
03/09/2021,04,"174,77"
03/09/2021,05,"174,26"
03/09/2021,06,"175,35"
03/09/2021,07,"176,44"
03/09/2021,08,"213,16"
03/09/2021,09,"209,78"
03/09/2021,10,"299,94"
03/09/2021,11,"296,76"
03/09/2021,12,"290,54"
03/09/2021,13,"291,82"
03/09/2021,14,"192,03"
03/09/2021,15,"186,31"
03/09/2021,16,"183,13"
03/09/2021,17,"186,13"
03/09/2021,18,"297,49"
03/09/2021,19,"307,44"
03/09/2021,20,"309,11"
03/09/2021,21,"312,59"
03/09/2021,22,"217,67"
03/09/2021,23,"214,95"
04/09/2021,00,"186,59"
04/09/2021,01,"186,88"
04/09/2021,02,"185,97"
04/09/2021,03,"185,37"
04/09/2021,04,"185,97"
04/09/2021,05,"184,78"
04/09/2021,06,"185,61"
04/09/2021,07,"184,91"
04/09/2021,08,"182,24"
04/09/2021,09,"174,08"
04/09/2021,10,"149,69"
04/09/2021,11,"143,89"
04/09/2021,12,"143,28"
04/09/2021,13,"142,29"
04/09/2021,14,"139,20"
04/09/2021,15,"134,49"
04/09/2021,16,"134,43"
04/09/2021,17,"135,65"
04/09/2021,18,"162,68"
04/09/2021,19,"184,82"
04/09/2021,20,"187,88"
04/09/2021,21,"188,78"
04/09/2021,22,"187,54"
04/09/2021,23,"186,78"
05/09/2021,00,"188,22"
05/09/2021,01,"186,33"
05/09/2021,02,"179,53"
05/09/2021,03,"174,53"
05/09/2021,04,"171,31"
05/09/2021,05,"174,70"
05/09/2021,06,"175,35"
05/09/2021,07,"173,62"
05/09/2021,08,"166,32"
05/09/2021,09,"149,33"
05/09/2021,10,"137,58"
05/09/2021,11,"135,94"
05/09/2021,12,"133,50"
05/09/2021,13,"135,24"
05/09/2021,14,"135,99"
05/09/2021,15,"134,77"
05/09/2021,16,"135,86"
05/09/2021,17,"138,95"
05/09/2021,18,"163,40"
05/09/2021,19,"186,17"
05/09/2021,20,"197,91"
05/09/2021,21,"192,50"
05/09/2021,22,"191,51"
05/09/2021,23,"188,16"
06/09/2021,00,"178,50"
06/09/2021,01,"165,00"
06/09/2021,02,"151,71"
06/09/2021,03,"144,14"
06/09/2021,04,"144,05"
06/09/2021,05,"145,69"
06/09/2021,06,"173,59"
06/09/2021,07,"179,86"
06/09/2021,08,"216,30"
06/09/2021,09,"206,26"
06/09/2021,10,"294,58"
06/09/2021,11,"294,40"
06/09/2021,12,"289,34"
06/09/2021,13,"284,43"
06/09/2021,14,"189,32"
06/09/2021,15,"189,51"
06/09/2021,16,"194,11"
06/09/2021,17,"204,19"
06/09/2021,18,"310,37"
06/09/2021,19,"317,03"
06/09/2021,20,"317,12"
06/09/2021,21,"314,57"
06/09/2021,22,"210,85"
06/09/2021,23,"189,82"
07/09/2021,00,"164,17"
07/09/2021,01,"145,53"
07/09/2021,02,"141,91"
07/09/2021,03,"138,82"
07/09/2021,04,"137,99"
07/09/2021,05,"140,77"
07/09/2021,06,"161,08"
07/09/2021,07,"178,08"
07/09/2021,08,"218,98"
07/09/2021,09,"208,62"
07/09/2021,10,"293,35"
07/09/2021,11,"277,84"
07/09/2021,12,"268,26"
07/09/2021,13,"264,78"
07/09/2021,14,"171,21"
07/09/2021,15,"171,03"
07/09/2021,16,"176,69"
07/09/2021,17,"200,64"
07/09/2021,18,"301,94"
07/09/2021,19,"312,51"
07/09/2021,20,"317,44"
07/09/2021,21,"317,90"
07/09/2021,22,"221,97"
07/09/2021,23,"217,24"
08/09/2021,00,"174,22"
08/09/2021,01,"169,46"
08/09/2021,02,"164,22"
08/09/2021,03,"157,55"
08/09/2021,04,"158,28"
08/09/2021,05,"164,17"
08/09/2021,06,"173,77"
08/09/2021,07,"177,17"
08/09/2021,08,"215,01"
08/09/2021,09,"211,34"
08/09/2021,10,"297,69"
08/09/2021,11,"294,73"
08/09/2021,12,"292,04"
08/09/2021,13,"286,76"
08/09/2021,14,"179,48"
08/09/2021,15,"171,65"
08/09/2021,16,"180,79"
08/09/2021,17,"201,77"
08/09/2021,18,"302,33"
08/09/2021,19,"314,02"
08/09/2021,20,"316,99"
08/09/2021,21,"316,56"
08/09/2021,22,"221,00"
08/09/2021,23,"208,65"
09/09/2021,00,"178,32"
09/09/2021,01,"170,28"
09/09/2021,02,"162,70"
09/09/2021,03,"155,06"
09/09/2021,04,"153,92"
09/09/2021,05,"156,82"
09/09/2021,06,"173,88"
09/09/2021,07,"182,26"
09/09/2021,08,"218,87"
09/09/2021,09,"212,78"
09/09/2021,10,"303,83"
09/09/2021,11,"303,53"
09/09/2021,12,"303,91"
09/09/2021,13,"305,41"
09/09/2021,14,"207,81"
09/09/2021,15,"205,27"
09/09/2021,16,"202,88"
09/09/2021,17,"210,23"
09/09/2021,18,"309,65"
09/09/2021,19,"319,46"
09/09/2021,20,"321,38"
09/09/2021,21,"320,14"
09/09/2021,22,"223,85"
09/09/2021,23,"218,09"
10/09/2021,00,"192,44"
10/09/2021,01,"190,27"
10/09/2021,02,"187,85"
10/09/2021,03,"186,58"
10/09/2021,04,"184,64"
10/09/2021,05,"186,56"
10/09/2021,06,"188,07"
10/09/2021,07,"193,78"
10/09/2021,08,"231,03"
10/09/2021,09,"225,94"
10/09/2021,10,"315,19"
10/09/2021,11,"311,75"
10/09/2021,12,"311,67"
10/09/2021,13,"311,20"
10/09/2021,14,"218,25"
10/09/2021,15,"216,33"
